"","Title","Year","IMDb","Rotten.Tomatoes","provider","has_movie"
"171","The Boy Who Harnessed the Wind",2019,7.6,87,"Netflix",1
"172","Article 15",2019,8.3,89,"Netflix",1
"173","The Killing of a Sacred Deer",2017,7,79,"Netflix",1
"174","Lawless",2012,7.3,67,"Netflix",1
"175","Kabhi Khushi Kabhie Gham",2001,7.4,100,"Netflix",1
"176","Charlie and the Chocolate Factory",2005,6.6,82,"Netflix",1
"177","Freaks",2019,6.7,87,"Netflix",1
"178","Hannah Gadsby: Nanette",2018,8.2,100,"Netflix",1
"179","The Mask of Zorro",1998,6.7,82,"Netflix",1
"180","The Natural",1984,7.5,82,"Netflix",1
"181","Equilibrium",2002,7.4,40,"Netflix",1
"182","Arthur Christmas",2011,7.1,92,"Netflix",1
"183","The Rainmaker",1997,7.2,83,"Netflix",1
"184","Winter on Fire: Ukraine's Fight for Freedom",2015,8.4,88,"Netflix",1
"185","Always Be My Maybe",2019,6.8,89,"Netflix",1
"186","The Crying Game",1992,7.2,94,"Netflix",1
"187","War Horse",2011,7.2,74,"Netflix",1
"188","Shot Caller",2017,7.3,69,"Netflix",1
"189","The Invitation",2015,6.6,88,"Netflix",1
"190","A Most Violent Year",2014,7,89,"Netflix",1
"191","The Other Guys",2010,6.6,78,"Netflix",1
"192","Kapoor & Sons",2016,7.7,100,"Netflix",1
"193","On Body and Soul",2017,7.6,89,"Netflix",1
"194","The Fundamentals of Caring",2016,7.3,77,"Netflix",1
"195","Insidious",2010,6.8,66,"Netflix",1
"196","Bill Burr: Paper Tiger",2019,8.2,86,"Netflix",1
"197","Bad Boys",1995,6.9,43,"Netflix",1
"198","The Foreigner",2017,7,65,"Netflix",1
"199","The Danish Girl",2015,7.1,67,"Netflix",1
"200","The Girl with All the Gifts",2016,6.6,86,"Netflix",1
"201","Bird Box",2018,6.6,63,"Netflix",1
"202","The Ring",2002,7.1,71,"Netflix",1
"203","Hostiles",2017,7.2,72,"Netflix",1
"204","Sairat",2016,8.3,100,"Netflix",1
"205","Trumbo",2015,7.5,74,"Netflix",1
"206","LA 92",2017,8.2,92,"Netflix",1
"207","20th Century Women",2016,7.3,88,"Netflix",1
"208","Kal Ho Naa Ho",2003,8,70,"Netflix",1
"209","Swiss Army Man",2016,7,71,"Netflix",1
"210","In This Corner of the World",2016,7.8,97,"Netflix",1
"211","A Ghost Story",2017,6.9,91,"Netflix",1
"212","United 93",2006,7.5,90,"Netflix",1
"213","Patriot Games",1992,6.9,72,"Netflix",1
"214","The Secret Life of Pets 2",2019,6.5,60,"Netflix",1
"215","Hitch",2005,6.6,68,"Netflix",1
"216","The Young Offenders",2016,7.1,100,"Netflix",1
"217","Enemy",2013,6.9,71,"Netflix",1
"218","Mirage",2018,7.4,71,"Netflix",1
"219","Everybody's Everything",2019,7.4,100,"Netflix",1
"220","Indiana Jones and the Kingdom of the Crystal Skull",2008,6.1,78,"Netflix",1
"221","The Guernsey Literary & Potato Peel Pie Society",2018,7.4,81,"Netflix",1
"222","I Don't Feel at Home in This World Anymore",2017,6.9,88,"Netflix",1
"223","The Endless",2018,6.5,94,"Netflix",1
"224","Julie & Julia",2009,7,77,"Netflix",1
"225","The Game Changers",2019,7.9,70,"Netflix",1
"226","Under the Shadow",2016,6.9,99,"Netflix",1
"227","Angel Has Fallen",2019,6.4,39,"Netflix",1
"228","Kon-Tiki",2012,7.2,81,"Netflix",1
"229","Mary Poppins Returns",2018,6.7,79,"Netflix",1
"230","Kajaki",2014,7.1,100,"Netflix",1
"231","The Fear of 13",2015,7.7,94,"Netflix",1
"232","The Night Comes for Us",2018,7,92,"Netflix",1
"233","Blood Father",2016,6.4,89,"Netflix",1
"234","Stree",2018,7.6,77,"Netflix",1
"235","American Factory",2019,7.4,97,"Netflix",1
"236","Code 8",2019,6.1,79,"Netflix",1
"237","Salt",2010,6.4,62,"Netflix",1
"238","The Hundred-Foot Journey",2014,7.3,67,"Netflix",1
"239","The Distinguished Citizen",2016,7.5,100,"Netflix",1
"240","Scooby-Doo on Zombie Island",1998,7.8,86,"Netflix",1
"241","Chasing Coral",2017,8.1,100,"Netflix",1
"242","The End of the Tour",2015,7.3,92,"Netflix",1
"243","The One I Love",2014,7.1,82,"Netflix",1
"244","Underworld",2003,7,31,"Netflix",1
"245","The Death of Mr. Lazarescu",2005,7.9,93,"Netflix",1
"246","Madagascar: Escape 2 Africa",2008,6.6,64,"Netflix",1
"247","The Wolf's Call",2019,6.9,92,"Netflix",1
"248","What Happened to Monday",2017,6.9,59,"Netflix",1
"249","The Willoughbys",2020,6.4,90,"Netflix",1
"250","The White Helmets",2016,7.5,100,"Netflix",1
"251","Suburra",2015,7.4,91,"Netflix",1
"252","The Matrix Revolutions",2003,6.8,35,"Netflix",1
"253","Richard Pryor: Live in Concert",1979,8.2,92,"Netflix",1
"254","Austin Powers: The Spy Who Shagged Me",1999,6.6,52,"Netflix",1
"255","Get Him to the Greek",2010,6.4,72,"Netflix",1
"256","Slow West",2015,6.9,92,"Netflix",1
"257","The Meyerowitz Stories (New and Selected)",2017,6.9,93,"Netflix",1
"258","The Battered Bastards of Baseball",2014,8,100,"Netflix",1
"259","The Perfection",2018,6.1,83,"Netflix",1
"260","Ip Man 3",2015,7.1,78,"Netflix",1
"261","Sinister",2012,6.8,64,"Netflix",1
"262","Rush: Beyond the Lighted Stage",2010,8.4,90,"Netflix",1
"263","20 Feet from Stardom",2013,7.4,99,"Netflix",1
"264","The Stanford Prison Experiment",2015,6.9,84,"Netflix",1
"265","My Week with Marilyn",2011,7,83,"Netflix",1
"266","Catfish",2010,7.1,80,"Netflix",1
"267","Secret Superstar",2017,7.9,90,"Netflix",1
"268","Private Life",2018,7.2,94,"Netflix",1
"269","Jarhead",2005,7,61,"Netflix",1
"270","Yes Man",2008,6.8,46,"Netflix",1
"271","For the Love of Spock",2016,7.6,100,"Netflix",1
"272","Goon",2012,6.8,81,"Netflix",1
"273","Ace Ventura: Pet Detective",1994,6.9,48,"Netflix",1
"274","Inequality for All",2013,8,90,"Netflix",1
"275","Olympus Has Fallen",2013,6.5,49,"Netflix",1
"276","Dave Chappelle: Sticks & Stones",2019,8.5,35,"Netflix",1
"277","John Mulaney: Kid Gorgeous at Radio City",2018,7.9,100,"Netflix",1
"278","La Bamba",1987,6.9,90,"Netflix",1
"279","Public Enemies",2009,7,68,"Netflix",1
"280","Supersonic",2016,7.9,84,"Netflix",1
